column,parent,theme,subtheme,polarity,phrase
Free_Text_3,Impact,Missed Sounds,Not Missed,Neutral,none
Free_Text_3,Impact,Missed Sounds,Not Missed,Neutral,not missed
Free_Text_3,Impact,Missed Sounds,Not Missed,Neutral,haven?t missed anything
Free_Text_3,Impact,Missed Sounds,Not Missed,Neutral,havent missed anything
Free_Text_4,Social Impact,Left Out,Often Left Out,Negative,"yes, often"
Free_Text_4,Social Impact,Left Out,Often Left Out,Negative,often
Free_Text_4,Social Impact,Left Out,Often Left Out,Negative,frequently left out
Free_Text_4,Social Impact,Left Out,Often Left Out,Negative,regularly left out
Free_Text_4,Social Impact,Left Out,Often Left Out,Negative,left out often
Free_Text_4,Social Impact,Left Out,Sometimes Left Out,Negative,sometimes
Free_Text_4,Social Impact,Left Out,Sometimes Left Out,Negative,occasionally
Free_Text_4,Social Impact,Left Out,Sometimes Left Out,Negative,at times
Free_Text_4,Social Impact,Left Out,Sometimes Left Out,Negative,now and then
Free_Text_4,Social Impact,Left Out,Sometimes Left Out,Negative,sometimes left out
Free_Text_4,Social Impact,Left Out,Noisy Places Only,Negative,only in noisy places
Free_Text_4,Social Impact,Left Out,Noisy Places Only,Negative,noisy places
Free_Text_4,Social Impact,Left Out,Noisy Places Only,Negative,loud environments
Free_Text_4,Social Impact,Left Out,Noisy Places Only,Negative,crowded places
Free_Text_4,Social Impact,Left Out,Noisy Places Only,Negative,only in noisy environments
Free_Text_4,Social Impact,Left Out,Not Left Out,Neutral,no
Free_Text_4,Social Impact,Left Out,Not Left Out,Neutral,not at all
Free_Text_4,Social Impact,Left Out,Not Left Out,Neutral,never
Free_Text_4,Social Impact,Left Out,Not Left Out,Neutral,no issues
Free_Text_4,Social Impact,Left Out,Not Left Out,Neutral,not left out
Free_Text_5,App Features,Desired Features,Privacy,Positive,privacy
Free_Text_5,App Features,Desired Features,Privacy,Positive,data privacy
Free_Text_5,App Features,Desired Features,Privacy,Positive,private
Free_Text_5,App Features,Desired Features,Privacy,Positive,confidential
Free_Text_5,App Features,Desired Features,Privacy,Positive,confidentiality
Free_Text_5,App Features,Desired Features,Soft Guidance,Positive,soft guidance
Free_Text_5,App Features,Desired Features,Soft Guidance,Positive,gentle guidance
Free_Text_5,App Features,Desired Features,Soft Guidance,Positive,supportive guidance
Free_Text_5,App Features,Desired Features,Soft Guidance,Positive,light guidance
Free_Text_5,App Features,Desired Features,Soft Guidance,Positive,guidance
Free_Text_5,App Features,Desired Features,Visuals,Positive,visuals
Free_Text_5,App Features,Desired Features,Visuals,Positive,visual guidance
Free_Text_5,App Features,Desired Features,Visuals,Positive,charts
Free_Text_5,App Features,Desired Features,Visuals,Positive,visual feedback
Free_Text_5,App Features,Desired Features,Visuals,Positive,visuals and reports
Free_Text_5,App Features,Desired Features,Report Sharing,Positive,report sharing
Free_Text_5,App Features,Desired Features,Report Sharing,Positive,share reports
Free_Text_5,App Features,Desired Features,Report Sharing,Positive,report options
Free_Text_5,App Features,Desired Features,Report Sharing,Positive,sharing options
Free_Text_5,App Features,Desired Features,Report Sharing,Positive,share results
Free_Text_5,App Features,Desired Features,AI Support,Positive,ai support
Free_Text_5,App Features,Desired Features,AI Support,Positive,ai help
Free_Text_5,App Features,Desired Features,AI Support,Positive,ai assistant
Free_Text_5,App Features,Desired Features,AI Support,Positive,smart guidance
Free_Text_5,App Features,Desired Features,AI Support,Positive,ai
Free_Text_5,App Features,Desired Features,Game-based Interaction,Positive,game-based interaction
Free_Text_5,App Features,Desired Features,Game-based Interaction,Positive,game based
Free_Text_5,App Features,Desired Features,Game-based Interaction,Positive,gamified
Free_Text_5,App Features,Desired Features,Game-based Interaction,Positive,games
Free_Text_5,App Features,Desired Features,Game-based Interaction,Positive,game interaction
Free_Text_5,App Features,Desired Features,Self-Test,Positive,self test
Free_Text_5,App Features,Desired Features,Self-Test,Positive,self assessment
Free_Text_5,App Features,Desired Features,Self-Test,Positive,hearing test in app
Free_Text_5,App Features,Desired Features,Self-Test,Positive,in app test
Free_Text_5,App Features,Desired Features,Self-Test,Positive,test myself
Free_Text_5,App Features,Desired Features,Reminders,Positive,reminders
Free_Text_5,App Features,Desired Features,Reminders,Positive,notifications
Free_Text_5,App Features,Desired Features,Reminders,Positive,follow up reminders
Free_Text_5,App Features,Desired Features,Reminders,Positive,regular check ins
Free_Text_5,App Features,Desired Features,Reminders,Positive,check in reminders
